"Date","Time","Expectancy","Value","Tracking","Planning","Effort","Focus","Help","Environment","Organising","Motivation","Anxiety","Enjoyment","Feedback","Metacognition","Exercise_last_2h","Avg_heartrate_last_2h","Stepcount_last_2h"
80,"10:15",7,8,6,5,7,7,6,7,7,6,7,7,9,5,0,41,21
80,"11:41",7,8,4,7,8,6,6,5,7,8,6,7,9,5,11,66.1164431818182,3515
81,"11:49",8,10,6,7,8,8,5,7,8,9,5,8,9,4,8,77.2380619047619,2140
81,"12:10",8,10,5,9,9,9,9,4,6,10,5,8,10,5,16,85.3209617283951,3924
81,"15:25",7,9,7,9,10,6,6,4,7,9,6,8,9,5,0,64.69036,29
82,"09:32",6,9,6,7,8,9,6,7,6,9,6,9,9,6,0,52.4166666666667,34
82,"11:19",8,10,6,9,9,9,6,5,6,9,7,9,10,6,11,85.4007837209302,3065
82,"13:44",8,10,8,7,8,9,7,8,6,9,5,8,8,7,1,63.1304347826087,32
83,"10:22",7,9,8,9,7,5,6,8,6,9,7,7,4,6,5,79.7727272727273,1552
83,"16:00",5,10,7,6,7,7,6,10,7,7,7,8,8,6,3,65.6429346153846,1192
84,"14:13",7,7,9,7,6,5,5,10,7,8,6,7,8,4,0,68.9565217391304,581
84,"16:13",7,9,8,8,7,6,6,10,7,10,5,9,9,5,12,81.3882,4711
87,"09:52",8,10,8,9,7,6,5,6,6,9,5,8,7,5,0,44.1034482758621,1
87,"11:15",6,9,9,10,6,6,6,9,7,10,4,9,8,6,12,82.2751142857143,3828
87,"13:17",7,7,6,8,8,7,5,9,7,9,5,7,7,7,26,136.670731707317,5214
88,"10:05",7,8,7,9,8,8,6,8,7,8,3,7,7,7,12,66.1904761904762,2647
88,"14:25",8,10,9,9,10,9,4,8,7,10,4,9,7,6,2,66.7727272727273,699
88,"16:02",8,10,9,9,9,8,7,8,9,10,3,10,8,7,5,72.4121125,1882
90,"10:19",8,9,9,9,10,6,7,8,6,10,4,8,8,6,0,50.0526315789474,339
90,"12:46",7,8,8,9,8,8,6,7,6,8,5,9,8,6,0,67.9583333333333,366
90,"16:23",8,9,9,9,9,6,6,8,7,9,5,8,8,7,1,68.005,230
